common_name	pathway	main_function	main_function_two	pval	padj	log2err	ES	NES	size	leadingEdge	DoseComparison	Cluster
Developmental Biology	REACTOME_DEVELOPMENTAL_BIOLOGY	Other	None	0.915178571428571	0.915178571428571	0.0361491929398957	0.444444444444444	0.705299648703117	2	SOX1	2Gy_vs_0Gy	1
Diseases of signal transduction by growth factor receptors and second messengers	REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS	Other	None	0.736947791164659	0.839965924303274	0.059989249649033	-0.648648648648649	-0.861040929762508	1	NF1	2Gy_vs_0Gy	1
Formation of the anterior neural plate	REACTOME_FORMATION_OF_THE_ANTERIOR_NEURAL_PLATE	Differentiation	None	0.64484126984127	0.839965924303274	0.0658311958368866	0.702702702702703	0.925482980680776	1	SOX1	2Gy_vs_0Gy	1
Formation of the posterior neural plate	REACTOME_FORMATION_OF_THE_POSTERIOR_NEURAL_PLATE	Differentiation	None	0.64484126984127	0.839965924303274	0.0658311958368866	0.702702702702703	0.925482980680776	1	SOX1	2Gy_vs_0Gy	1
Gastrulation	REACTOME_GASTRULATION	Other	None	0.64484126984127	0.839965924303274	0.0658311958368866	0.702702702702703	0.925482980680776	1	SOX1	2Gy_vs_0Gy	1
Heme signaling	REACTOME_HEME_SIGNALING	Cellular Response to Stress	None	0.815261044176707	0.839965924303274	0.0552495663125249	-0.567567567567568	-0.753410813542195	1	NFE2L2	2Gy_vs_0Gy	1
Infectious disease	REACTOME_INFECTIOUS_DISEASE	Other	None	0.815261044176707	0.839965924303274	0.0552495663125249	-0.567567567567568	-0.753410813542195	1	NFE2L2	2Gy_vs_0Gy	1
Interleukin-4 and Interleukin-13 signaling	REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING	Cytokine Signalling Immune System	None	0.29718875502008	0.839965924303274	0.109684061970549	-0.864864864864865	-1.14805457301668	1	BATF	2Gy_vs_0Gy	1
KEAP1-NFE2L2 pathway	REACTOME_KEAP1_NFE2L2_PATHWAY	Cellular Response to Stress	None	0.815261044176707	0.839965924303274	0.0552495663125249	-0.567567567567568	-0.753410813542195	1	NFE2L2	2Gy_vs_0Gy	1
MAPK family signaling cascades	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	Signal Transduction	None	0.736947791164659	0.839965924303274	0.059989249649033	-0.648648648648649	-0.861040929762508	1	NF1	2Gy_vs_0Gy	1
Neddylation	REACTOME_NEDDYLATION	Metabolism of Proteins	None	0.815261044176707	0.839965924303274	0.0552495663125249	-0.567567567567568	-0.753410813542195	1	NFE2L2	2Gy_vs_0Gy	1
NFE2L2 regulates pentose phosphate pathway genes	REACTOME_NFE2L2_REGULATES_PENTOSE_PHOSPHATE_PATHWAY_GENES	Cellular Response to Stress	None	0.815261044176707	0.839965924303274	0.0552495663125249	-0.567567567567568	-0.753410813542195	1	NFE2L2	2Gy_vs_0Gy	1
NFE2L2 regulating anti-oxidant/detoxification enzymes	REACTOME_NFE2L2_REGULATING_ANTI_OXIDANT_DETOXIFICATION_ENZYMES	Cellular Response to Stress	None	0.815261044176707	0.839965924303274	0.0552495663125249	-0.567567567567568	-0.753410813542195	1	NFE2L2	2Gy_vs_0Gy	1
NFE2L2 regulating ER-stress associated genes	REACTOME_NFE2L2_REGULATING_ER_STRESS_ASSOCIATED_GENES	Cellular Response to Stress	None	0.815261044176707	0.839965924303274	0.0552495663125249	-0.567567567567568	-0.753410813542195	1	NFE2L2	2Gy_vs_0Gy	1
NFE2L2 regulating inflammation associated genes	REACTOME_NFE2L2_REGULATING_INFLAMMATION_ASSOCIATED_GENES	Cellular Response to Stress	None	0.815261044176707	0.839965924303274	0.0552495663125249	-0.567567567567568	-0.753410813542195	1	NFE2L2	2Gy_vs_0Gy	1
NFE2L2 regulating MDR associated enzymes	REACTOME_NFE2L2_REGULATING_MDR_ASSOCIATED_ENZYMES	Cellular Response to Stress	None	0.815261044176707	0.839965924303274	0.0552495663125249	-0.567567567567568	-0.753410813542195	1	NFE2L2	2Gy_vs_0Gy	1
NFE2L2 regulating tumorigenic genes	REACTOME_NFE2L2_REGULATING_TUMORIGENIC_GENES	Cellular Response to Stress	None	0.815261044176707	0.839965924303274	0.0552495663125249	-0.567567567567568	-0.753410813542195	1	NFE2L2	2Gy_vs_0Gy	1
Nuclear events mediated by NFE2L2	REACTOME_NUCLEAR_EVENTS_MEDIATED_BY_NFE2L2	Cellular Response to Stress	None	0.815261044176707	0.839965924303274	0.0552495663125249	-0.567567567567568	-0.753410813542195	1	NFE2L2	2Gy_vs_0Gy	1
Oncogenic MAPK signaling	REACTOME_ONCOGENIC_MAPK_SIGNALING	Other	None	0.736947791164659	0.839965924303274	0.059989249649033	-0.648648648648649	-0.861040929762508	1	NF1	2Gy_vs_0Gy	1
Post-translational protein modification	REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	Metabolism of Proteins	None	0.815261044176707	0.839965924303274	0.0552495663125249	-0.567567567567568	-0.753410813542195	1	NFE2L2	2Gy_vs_0Gy	1
Potential therapeutics for SARS	REACTOME_POTENTIAL_THERAPEUTICS_FOR_SARS	Other	None	0.815261044176707	0.839965924303274	0.0552495663125249	-0.567567567567568	-0.753410813542195	1	NFE2L2	2Gy_vs_0Gy	1
RAS signaling downstream of NF1 loss-of-function variants	REACTOME_RAS_SIGNALING_DOWNSTREAM_OF_NF1_LOSS_OF_FUNCTION_VARIANTS	Other	None	0.736947791164659	0.839965924303274	0.059989249649033	-0.648648648648649	-0.861040929762508	1	NF1	2Gy_vs_0Gy	1
Regulation of HMOX1 expression and activity	REACTOME_REGULATION_OF_HMOX1_EXPRESSION_AND_ACTIVITY	Cellular Response to Stress	None	0.815261044176707	0.839965924303274	0.0552495663125249	-0.567567567567568	-0.753410813542195	1	NFE2L2	2Gy_vs_0Gy	1
Regulation of NFE2L2 gene expression	REACTOME_REGULATION_OF_NFE2L2_GENE_EXPRESSION	Cellular Response to Stress	None	0.815261044176707	0.839965924303274	0.0552495663125249	-0.567567567567568	-0.753410813542195	1	NFE2L2	2Gy_vs_0Gy	1
Regulation of RAS by GAPs	REACTOME_REGULATION_OF_RAS_BY_GAPS	Signal Transduction	None	0.736947791164659	0.839965924303274	0.059989249649033	-0.648648648648649	-0.861040929762508	1	NF1	2Gy_vs_0Gy	1
SARS-CoV Infections	REACTOME_SARS_COV_INFECTIONS	Other	None	0.815261044176707	0.839965924303274	0.0552495663125249	-0.567567567567568	-0.753410813542195	1	NFE2L2	2Gy_vs_0Gy	1
Signaling by Interleukins	REACTOME_SIGNALING_BY_INTERLEUKINS	Cytokine Signalling Immune System	None	0.29718875502008	0.839965924303274	0.109684061970549	-0.864864864864865	-1.14805457301668	1	BATF	2Gy_vs_0Gy	1
Viral Infection Pathways	REACTOME_VIRAL_INFECTION_PATHWAYS	Other	None	0.815261044176707	0.839965924303274	0.0552495663125249	-0.567567567567568	-0.753410813542195	1	NFE2L2	2Gy_vs_0Gy	1
Activation of anterior HOX genes in hindbrain development during early embryogenesis	REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS	Other	None	0.702991452991453	0.702991452991453	0.0652353056017703	-0.615384615384615	-0.798973481608212	1	CTCF	2Gy_vs_0Gy	2
Cytokine Signaling in Immune system	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	Other	None	0.303418803418803	0.505698005698006	0.112378519110475	-0.923076923076923	-1.19846022241232	1	BATF	2Gy_vs_0Gy	2
Developmental Biology	REACTOME_DEVELOPMENTAL_BIOLOGY	Other	None	0.702991452991453	0.702991452991453	0.0652353056017703	-0.615384615384615	-0.798973481608212	1	CTCF	2Gy_vs_0Gy	2
Interleukin-4 and Interleukin-13 signaling	REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING	Cytokine Signalling Immune System	None	0.303418803418803	0.505698005698006	0.112378519110475	-0.923076923076923	-1.19846022241232	1	BATF	2Gy_vs_0Gy	2
Signaling by Interleukins	REACTOME_SIGNALING_BY_INTERLEUKINS	Cytokine Signalling Immune System	None	0.303418803418803	0.505698005698006	0.112378519110475	-0.923076923076923	-1.19846022241232	1	BATF	2Gy_vs_0Gy	2
Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	Other	None	0.102296450939457	0.193226629552308	0.20207170902116	0.964912280701754	1.28840970350404	1	TFDP1	2Gy_vs_0Gy	3
Activation of anterior HOX genes in hindbrain development during early embryogenesis	REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS	Other	None	0.351816443594646	0.598087954110899	0.096240602328129	-0.842105263157895	-1.11345153979469	1	CTCF	2Gy_vs_0Gy	3
Activation of BH3-only proteins	REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS	Apoptosis	None	0.102296450939457	0.193226629552308	0.20207170902116	0.964912280701754	1.28840970350404	1	TFDP1	2Gy_vs_0Gy	3
Activation of NOXA and translocation to mitochondria	REACTOME_ACTIVATION_OF_NOXA_AND_TRANSLOCATION_TO_MITOCHONDRIA	Apoptosis	None	0.102296450939457	0.193226629552308	0.20207170902116	0.964912280701754	1.28840970350404	1	TFDP1	2Gy_vs_0Gy	3
Activation of PUMA and translocation to mitochondria	REACTOME_ACTIVATION_OF_PUMA_AND_TRANSLOCATION_TO_MITOCHONDRIA	Apoptosis	None	0.102296450939457	0.193226629552308	0.20207170902116	0.964912280701754	1.28840970350404	1	TFDP1	2Gy_vs_0Gy	3
Apoptosis	REACTOME_APOPTOSIS	Other	None	0.102296450939457	0.193226629552308	0.20207170902116	0.964912280701754	1.28840970350404	1	TFDP1	2Gy_vs_0Gy	3
Cellular responses to stimuli	REACTOME_CELLULAR_RESPONSES_TO_STIMULI	Other	None	0.102296450939457	0.193226629552308	0.20207170902116	0.964912280701754	1.28840970350404	1	TFDP1	2Gy_vs_0Gy	3
Cellular Senescence	REACTOME_CELLULAR_SENESCENCE	Cellular Response to Stress	None	0.102296450939457	0.193226629552308	0.20207170902116	0.964912280701754	1.28840970350404	1	TFDP1	2Gy_vs_0Gy	3
Cell Cycle	REACTOME_CELL_CYCLE	Other	None	0.102296450939457	0.193226629552308	0.20207170902116	0.964912280701754	1.28840970350404	1	TFDP1	2Gy_vs_0Gy	3
Cell Cycle, Mitotic	REACTOME_CELL_CYCLE_MITOTIC	Other	None	0.102296450939457	0.193226629552308	0.20207170902116	0.964912280701754	1.28840970350404	1	TFDP1	2Gy_vs_0Gy	3
Circadian clock	REACTOME_CIRCADIAN_CLOCK	Other	None	0.734225621414914	0.872324902723735	0.0578529757032509	-0.649122807017544	-0.858285561925077	1	NFIL3	2Gy_vs_0Gy	3
Cyclin A:Cdk2-associated events at S phase entry	REACTOME_CYCLIN_A_CDK2_ASSOCIATED_EVENTS_AT_S_PHASE_ENTRY	Other	None	0.102296450939457	0.193226629552308	0.20207170902116	0.964912280701754	1.28840970350404	1	TFDP1	2Gy_vs_0Gy	3
Cyclin D associated events in G1	REACTOME_CYCLIN_D_ASSOCIATED_EVENTS_IN_G1	Other	None	0.102296450939457	0.193226629552308	0.20207170902116	0.964912280701754	1.28840970350404	1	TFDP1	2Gy_vs_0Gy	3
Cytokine Signaling in Immune system	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	Other	None	0.317399617590822	0.553414717850664	0.102449405629826	-0.859649122807018	-1.13664844687375	1	BATF	2Gy_vs_0Gy	3
Developmental Biology	REACTOME_DEVELOPMENTAL_BIOLOGY	Other	None	0.69908466819222	0.872324902723735	0.0364548541965309	0.36771184244623	0.840087690717838	7	TFDP1, TEAD2, TEAD1, TEAD4, WT1, SOX1	2Gy_vs_0Gy	3
Diseases of mitotic cell cycle	REACTOME_DISEASES_OF_MITOTIC_CELL_CYCLE	Other	None	0.102296450939457	0.193226629552308	0.20207170902116	0.964912280701754	1.28840970350404	1	TFDP1	2Gy_vs_0Gy	3
E2F mediated regulation of DNA replication	REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION	Other	None	0.102296450939457	0.193226629552308	0.20207170902116	0.964912280701754	1.28840970350404	1	TFDP1	2Gy_vs_0Gy	3
EGR2 and SOX10-mediated initiation of Schwann cell myelination	REACTOME_EGR2_AND_SOX10_MEDIATED_INITIATION_OF_SCHWANN_CELL_MYELINATION	Other	None	0.751565762004175	0.872324902723735	0.0609039347452418	0.631578947368421	0.843322715020828	1	TEAD1	2Gy_vs_0Gy	3
Formation of axial mesoderm	REACTOME_FORMATION_OF_AXIAL_MESODERM	Differentiation	None	0.708661417322835	0.872324902723735	0.0504983044100709	0.537337662337662	0.861065277425051	2	TEAD2	2Gy_vs_0Gy	3
Formation of the anterior neural plate	REACTOME_FORMATION_OF_THE_ANTERIOR_NEURAL_PLATE	Differentiation	None	0.799235181644359	0.872324902723735	0.0538979025357319	-0.614035087719298	-0.811891747766964	1	SOX1	2Gy_vs_0Gy	3
Formation of the posterior neural plate	REACTOME_FORMATION_OF_THE_POSTERIOR_NEURAL_PLATE	Differentiation	None	0.799235181644359	0.872324902723735	0.0538979025357319	-0.614035087719298	-0.811891747766964	1	SOX1	2Gy_vs_0Gy	3
G0 and Early G1	REACTOME_G0_AND_EARLY_G1	Other	None	0.102296450939457	0.193226629552308	0.20207170902116	0.964912280701754	1.28840970350404	1	TFDP1	2Gy_vs_0Gy	3
G1/S-Specific Transcription	REACTOME_G1_S_SPECIFIC_TRANSCRIPTION	Other	None	0.102296450939457	0.193226629552308	0.20207170902116	0.964912280701754	1.28840970350404	1	TFDP1	2Gy_vs_0Gy	3
Gastrulation	REACTOME_GASTRULATION	Other	None	0.88623595505618	0.912074427099683	0.0349401058848478	0.4	0.719652431269874	3	TEAD2, TEAD4, SOX1	2Gy_vs_0Gy	3
Inhibition of replication initiation of damaged DNA by RB1/E2F1	REACTOME_INHIBITION_OF_REPLICATION_INITIATION_OF_DAMAGED_DNA_BY_RB1_E2F1	Other	None	0.102296450939457	0.193226629552308	0.20207170902116	0.964912280701754	1.28840970350404	1	TFDP1	2Gy_vs_0Gy	3
Interleukin-4 and Interleukin-13 signaling	REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING	Cytokine Signalling Immune System	None	0.317399617590822	0.553414717850664	0.102449405629826	-0.859649122807018	-1.13664844687375	1	BATF	2Gy_vs_0Gy	3
Intrinsic Pathway for Apoptosis	REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS	Apoptosis	None	0.102296450939457	0.193226629552308	0.20207170902116	0.964912280701754	1.28840970350404	1	TFDP1	2Gy_vs_0Gy	3
Kidney development	REACTOME_KIDNEY_DEVELOPMENT	Other	None	0.820267686424474	0.872324902723735	0.0526973085708419	-0.596491228070175	-0.788694840687908	1	WT1	2Gy_vs_0Gy	3
Maternal to zygotic transition (MZT)	REACTOME_MATERNAL_TO_ZYGOTIC_TRANSITION_MZT	Other	None	0.898661567877629	0.912074427099683	0.048505983646947	-0.56140350877193	-0.742301026529796	1	TEAD4	2Gy_vs_0Gy	3
Mitochondrial biogenesis	REACTOME_MITOCHONDRIAL_BIOGENESIS	Other	None	0.0317017043502865	0.193226629552308	0.321775918075361	1.0	1.33526096544965	1	GABPA	2Gy_vs_0Gy	3
Mitotic G1 phase and G1/S transition	REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION	Other	None	0.102296450939457	0.193226629552308	0.20207170902116	0.964912280701754	1.28840970350404	1	TFDP1	2Gy_vs_0Gy	3
Nephron development	REACTOME_NEPHRON_DEVELOPMENT	Other	None	0.820267686424474	0.872324902723735	0.0526973085708419	-0.596491228070175	-0.788694840687908	1	WT1	2Gy_vs_0Gy	3
Nervous system development	REACTOME_NERVOUS_SYSTEM_DEVELOPMENT	Other	None	0.751565762004175	0.872324902723735	0.0609039347452418	0.631578947368421	0.843322715020828	1	TEAD1	2Gy_vs_0Gy	3
Oncogene Induced Senescence	REACTOME_ONCOGENE_INDUCED_SENESCENCE	Cellular Response to Stress	None	0.102296450939457	0.193226629552308	0.20207170902116	0.964912280701754	1.28840970350404	1	TFDP1	2Gy_vs_0Gy	3
Organelle biogenesis and maintenance	REACTOME_ORGANELLE_BIOGENESIS_AND_MAINTENANCE	Other	None	0.0317017043502865	0.193226629552308	0.321775918075361	1.0	1.33526096544965	1	GABPA	2Gy_vs_0Gy	3
Oxidative Stress Induced Senescence	REACTOME_OXIDATIVE_STRESS_INDUCED_SENESCENCE	Cellular Response to Stress	None	0.102296450939457	0.193226629552308	0.20207170902116	0.964912280701754	1.28840970350404	1	TFDP1	2Gy_vs_0Gy	3
Pre-NOTCH Expression and Processing	REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING	Signal Transduction	None	0.102296450939457	0.193226629552308	0.20207170902116	0.964912280701754	1.28840970350404	1	TFDP1	2Gy_vs_0Gy	3
Programmed Cell Death	REACTOME_PROGRAMMED_CELL_DEATH	Other	None	0.102296450939457	0.193226629552308	0.20207170902116	0.964912280701754	1.28840970350404	1	TFDP1	2Gy_vs_0Gy	3
Regulation of RUNX2 expression and activity	REACTOME_REGULATION_OF_RUNX2_EXPRESSION_AND_ACTIVITY	Gene Expression(Transcription)	None	0.565762004175365	0.767353165522502	0.0749278818393739	0.701754385964912	0.937025238912031	1	RUNX2	2Gy_vs_0Gy	3
RNA Polymerase II Transcription	REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION	Gene Expression(Transcription)	None	0.575514874141876	0.767353165522502	0.0454059226590179	0.411764705882353	0.940732445772124	7	TFDP1, TEAD2, RUNX2, TEAD1, E2F7, TEAD4, TEAD3	2Gy_vs_0Gy	3
RUNX1 regulates transcription of genes involved in differentiation of myeloid cells	REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_MYELOID_CELLS	Gene Expression(Transcription)	None	0.565762004175365	0.767353165522502	0.0749278818393739	0.701754385964912	0.937025238912031	1	RUNX2	2Gy_vs_0Gy	3
RUNX2 regulates bone development	REACTOME_RUNX2_REGULATES_BONE_DEVELOPMENT	Gene Expression(Transcription)	None	0.565762004175365	0.767353165522502	0.0749278818393739	0.701754385964912	0.937025238912031	1	RUNX2	2Gy_vs_0Gy	3
RUNX2 regulates chondrocyte maturation	REACTOME_RUNX2_REGULATES_CHONDROCYTE_MATURATION	Gene Expression(Transcription)	None	0.565762004175365	0.767353165522502	0.0749278818393739	0.701754385964912	0.937025238912031	1	RUNX2	2Gy_vs_0Gy	3
RUNX2 regulates genes involved in cell migration	REACTOME_RUNX2_REGULATES_GENES_INVOLVED_IN_CELL_MIGRATION	Gene Expression(Transcription)	None	0.565762004175365	0.767353165522502	0.0749278818393739	0.701754385964912	0.937025238912031	1	RUNX2	2Gy_vs_0Gy	3
RUNX2 regulates osteoblast differentiation	REACTOME_RUNX2_REGULATES_OSTEOBLAST_DIFFERENTIATION	Gene Expression(Transcription)	None	0.565762004175365	0.767353165522502	0.0749278818393739	0.701754385964912	0.937025238912031	1	RUNX2	2Gy_vs_0Gy	3
RUNX3 regulates YAP1-mediated transcription	REACTOME_RUNX3_REGULATES_YAP1_MEDIATED_TRANSCRIPTION	Gene Expression(Transcription)	None	0.821011673151751	0.872324902723735	0.0347904098478036	0.388888888888889	0.76792541729405	4	TEAD2, TEAD1, TEAD4, TEAD3	2Gy_vs_0Gy	3
Signaling by Interleukins	REACTOME_SIGNALING_BY_INTERLEUKINS	Cytokine Signalling Immune System	None	0.317399617590822	0.553414717850664	0.102449405629826	-0.859649122807018	-1.13664844687375	1	BATF	2Gy_vs_0Gy	3
Signaling by NOTCH	REACTOME_SIGNALING_BY_NOTCH	Signal Transduction	None	0.102296450939457	0.193226629552308	0.20207170902116	0.964912280701754	1.28840970350404	1	TFDP1	2Gy_vs_0Gy	3
Signaling by TGFB family members	REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS	Signal Transduction	None	0.102296450939457	0.193226629552308	0.20207170902116	0.964912280701754	1.28840970350404	1	TFDP1	2Gy_vs_0Gy	3
Signaling by TGF-beta Receptor Complex	REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX	Signal Transduction	None	0.102296450939457	0.193226629552308	0.20207170902116	0.964912280701754	1.28840970350404	1	TFDP1	2Gy_vs_0Gy	3
SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription	REACTOME_SMAD2_SMAD3_SMAD4_HETEROTRIMER_REGULATES_TRANSCRIPTION	Gene Expression(Transcription)	Signal Transduction	0.102296450939457	0.193226629552308	0.20207170902116	0.964912280701754	1.28840970350404	1	TFDP1	2Gy_vs_0Gy	3
S Phase	REACTOME_S_PHASE	Other	None	0.102296450939457	0.193226629552308	0.20207170902116	0.964912280701754	1.28840970350404	1	TFDP1	2Gy_vs_0Gy	3
TP53 Regulates Transcription of Cell Cycle Genes	REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_CYCLE_GENES	Gene Expression(Transcription)	None	0.533858267716535	0.767353165522502	0.0637845390312975	0.607963875205255	0.974241374763449	2	TFDP1	2Gy_vs_0Gy	3
TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest	REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_G1_CELL_CYCLE_ARREST	Gene Expression(Transcription)	None	0.926931106471816	0.926931106471816	0.0511147954416412	0.526315789473684	0.702768929184024	1	E2F7	2Gy_vs_0Gy	3
TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest	REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_G2_CELL_CYCLE_ARREST	Gene Expression(Transcription)	None	0.102296450939457	0.193226629552308	0.20207170902116	0.964912280701754	1.28840970350404	1	TFDP1	2Gy_vs_0Gy	3
Transcriptional activation of mitochondrial biogenesis	REACTOME_TRANSCRIPTIONAL_ACTIVATION_OF_MITOCHONDRIAL_BIOGENESIS	Other	None	0.0317017043502865	0.193226629552308	0.321775918075361	1.0	1.33526096544965	1	GABPA	2Gy_vs_0Gy	3
Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	REACTOME_TRANSCRIPTIONAL_ACTIVITY_OF_SMAD2_SMAD3_SMAD4_HETEROTRIMER	Gene Expression(Transcription)	Signal Transduction	0.102296450939457	0.193226629552308	0.20207170902116	0.964912280701754	1.28840970350404	1	TFDP1	2Gy_vs_0Gy	3
Transcriptional Regulation by E2F6	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_E2F6	Gene Expression(Transcription)	None	0.102296450939457	0.193226629552308	0.20207170902116	0.964912280701754	1.28840970350404	1	TFDP1	2Gy_vs_0Gy	3
Transcriptional regulation by RUNX1	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX1	Gene Expression(Transcription)	None	0.565762004175365	0.767353165522502	0.0749278818393739	0.701754385964912	0.937025238912031	1	RUNX2	2Gy_vs_0Gy	3
Transcriptional regulation by RUNX2	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX2	Gene Expression(Transcription)	None	0.565762004175365	0.767353165522502	0.0749278818393739	0.701754385964912	0.937025238912031	1	RUNX2	2Gy_vs_0Gy	3
Transcriptional regulation by RUNX3	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX3	Gene Expression(Transcription)	None	0.821011673151751	0.872324902723735	0.0347904098478036	0.388888888888889	0.76792541729405	4	TEAD2, TEAD1, TEAD4, TEAD3	2Gy_vs_0Gy	3
Transcriptional Regulation by TP53	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53	Gene Expression(Transcription)	None	0.533858267716535	0.767353165522502	0.0637845390312975	0.607963875205255	0.974241374763449	2	TFDP1	2Gy_vs_0Gy	3
Transcriptional regulation of granulopoiesis	REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS	Other	None	0.102296450939457	0.193226629552308	0.20207170902116	0.964912280701754	1.28840970350404	1	TFDP1	2Gy_vs_0Gy	3
Transcriptional regulation of testis differentiation	REACTOME_TRANSCRIPTIONAL_REGULATION_OF_TESTIS_DIFFERENTIATION	Other	None	0.820267686424474	0.872324902723735	0.0526973085708419	-0.596491228070175	-0.788694840687908	1	WT1	2Gy_vs_0Gy	3
Transcription of E2F targets under negative control by DREAM complex	REACTOME_TRANSCRIPTION_OF_E2F_TARGETS_UNDER_NEGATIVE_CONTROL_BY_DREAM_COMPLEX	Other	None	0.102296450939457	0.193226629552308	0.20207170902116	0.964912280701754	1.28840970350404	1	TFDP1	2Gy_vs_0Gy	3
